Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,116.48,-130.0,180.0,bottom
C10,1uF,C_0402_1005Metric,120.735589,-123.739411,45.0,bottom
C11,0.1uF,C_0402_1005Metric,117.95,-123.52,90.0,bottom
C12,0.1uF,C_0402_1005Metric,119.15,-123.545,90.0,bottom
C13,10uF,C_0201_0603Metric,49.52,-32.4,0.0,bottom
C14,10uF,C_0201_0603Metric,47.0,-30.57,270.0,bottom
C15,0.1uF,C_0402_1005Metric,129.63,-124.475,180.0,bottom
C16,33pF,C_0402_1005Metric,125.35,-135.38,270.0,bottom
C17,33pF,C_0402_1005Metric,120.15,-135.355,270.0,bottom
C2,0.1uF,C_0402_1005Metric,118.435,-127.725,0.0,bottom
C3,0.1uF,C_0402_1005Metric,118.43,-126.675,0.0,bottom
C4,0.1uF,C_0402_1005Metric,118.405,-125.625,0.0,bottom
C5,0.1uF,C_0402_1005Metric,133.495,-132.15,180.0,bottom
C6,0.1uF,C_0402_1005Metric,132.245,-129.675,180.0,bottom
C7,0.1uF,C_0402_1005Metric,118.53,-129.95,0.0,bottom
C8,0.1uF,C_0402_1005Metric,118.455,-128.825,0.0,bottom
C9,0.1uF,C_0402_1005Metric,133.495,-133.175,180.0,bottom
D1,D_Small,D_SOD-123,36.525,-34.9,90.0,bottom
D10,D_Small,D_SOD-123,241.3125,-34.9,90.0,bottom
D11,D_Small,D_SOD-123,260.3625,-34.9,90.0,bottom
D12,D_Small,D_SOD-123,279.4125,-34.9,90.0,bottom
D13,D_Small,D_SOD-123,298.4625,-34.9,90.0,bottom
D14,D_Small,D_SOD-123,304.45,-35.075,90.0,bottom
D15,D_Small,D_SOD-123,36.525,-58.7125,90.0,bottom
D16,D_Small,D_SOD-123,55.575,-58.7125,90.0,bottom
D17,D_Small,D_SOD-123,74.625,-58.7125,90.0,bottom
D18,D_Small,D_SOD-123,93.675,-58.7125,90.0,bottom
D19,D_Small,D_SOD-123,112.725,-58.7125,90.0,bottom
D2,D_Small,D_SOD-123,69.8625,-34.9,90.0,bottom
D20,D_Small,D_SOD-123,131.775,-58.7125,90.0,bottom
D21,D_Small,D_SOD-123,150.825,-58.7125,90.0,bottom
D22,D_Small,D_SOD-123,169.875,-58.7125,90.0,bottom
D23,D_Small,D_SOD-123,188.925,-58.7125,90.0,bottom
D24,D_Small,D_SOD-123,207.975,-58.7125,90.0,bottom
D25,D_Small,D_SOD-123,227.025,-58.7125,90.0,bottom
D26,D_Small,D_SOD-123,246.075,-58.7125,90.0,bottom
D27,D_Small,D_SOD-123,265.125,-58.7125,90.0,bottom
D28,D_Small,D_SOD-123,293.7,-58.7125,90.0,bottom
D29,D_Small,D_SOD-123,322.275,-58.7125,90.0,bottom
D3,D_Small,D_SOD-123,88.9125,-34.9,90.0,bottom
D30,D_Small,D_SOD-123,41.2875,-77.7625,90.0,bottom
D31,D_Small,D_SOD-123,65.1,-77.7625,90.0,bottom
D32,D_Small,D_SOD-123,84.15,-77.7625,90.0,bottom
D33,D_Small,D_SOD-123,103.2,-77.7625,90.0,bottom
D34,D_Small,D_SOD-123,122.25,-77.7625,90.0,bottom
D35,D_Small,D_SOD-123,141.3,-77.7625,90.0,bottom
D36,D_Small,D_SOD-123,160.35,-77.7625,90.0,bottom
D37,D_Small,D_SOD-123,179.4,-77.7625,90.0,bottom
